Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2016;5600;0;2B;2B162;Moltifao;;NC64A11;2016-08-23 14:01:00;;50
1996;611;0;2A;2A004;Ajaccio;CAPO DI FENO;NB26C9;1996-06-22 21:30:00;3;1500
1996;623;0;2A;2A041;Bonifacio;BALISTRA;NB62H42;1996-06-30 11:31:00;3;200
1996;627;0;2A;2A041;Bonifacio;CALA LONGA;NB62L91;1996-07-03 10:13:00;3;1000
1996;629;0;2A;2A041;Bonifacio;CALA LONGA;NB62K13;1996-07-03 15:17:00;3;5000
1996;679;0;2A;2A041;Bonifacio;LA TRINITE;NB62E1;1996-07-24 15:15:00;3;300
1996;605;0;2A;2A065;Cargèse;;NC00K33;1996-06-21 13:13:00;3;730000
1996;746;0;2A;2A117;Forciolo;;NB46H52;1996-08-06 10:58:00;3;100
1996;763;0;2A;2A144;Lopigna;;NB28L92;1996-08-12 12:50:00;3;100
1996;633;0;2A;2A247;Porto-Vecchio;;NB84A15;1996-07-06 13:44:00;3;100
1996;635;0;2A;2A247;Porto-Vecchio;COL DE VARRA;NB84C3;1996-07-08 13:05:00;3;1950000
1996;637;0;2A;2A247;Porto-Vecchio;MARINA DI FIORI;NB84A43;1996-07-08 13:50:00;3;20
1996;708;0;2A;2A262;Rosazia;MUNA;NC40A15;1996-07-30 15:25:00;3;3000
1996;761;0;2A;2A269;Sari-Solenzara;ROUTE DE BAVELLA;NB86D71;1996-08-11 16:47:00;3;50
1996;612;0;2A;2A272;Sartène;ROUTE DE TIZZANO;NB42E94;1996-06-23 09:15:00;3;300
1996;771;0;2A;2A348;Vico;;NC20E23;1996-08-13 14:35:00;5;100
1996;706;0;2A;2A349;Viggianello;DEPOT ORDURES;NB44F53;1996-07-30 14:26:00;3;10000
1995;792;0;2A;2A330;Ucciani;;NB48E72;1995-03-28 13:58:00;;3000
1994;896;0;2A;2A041;Bonifacio;;NB62L5;1994-07-07 16:00:00;;500
1994;956;0;2A;2A348;Vico;;NC20F23;1994-07-25 11:47:00;;10000
1994;1013;0;2A;2A270;Sari-d'Orcino;;NB28L72;1994-08-09 19:20:00;;4000
1994;1084;0;2A;2A108;Évisa;;NC20G72;1994-09-01 22:55:00;;500
1994;1099;0;2A;2A041;Bonifacio;;NB62H12;1994-09-09 08:00:00;;400
1994;1114;0;2A;2A041;Bonifacio;;NB62K25;1994-09-16 13:50:00;;500
1992;496;0;2A;2A041;Bonifacio;;NB62H0;1992-06-23 06:45:00;;10000
2021;5755;0;2A;2A048;Calcatoggio;Foce di Cuglia;NB28E41;2021-07-29 20:02:00;;200
2014;2861;0;2A;2A114;Figari;Centre village à côté de l'église;NB62E6;2014-06-02 14:44:00;3;5000
2018;2777;0;2A;2A362;Zonza;Village de Sainte Lucie;NB84C9;2018-07-15 19:32:00;;1
2002;8581;0;2A;2A006;Alata;;NB28H21;2002-10-02 15:18:00;3;1000
2011;2641;0;2A;2A017;Appietto;SAN BASTIANO;NB28F41;2011-06-28 17:52:00;3;40000
2011;6390;0;2A;2A154;Marignana;;NC20G71;2011-09-07 07:17:00;3;20
2011;2544;0;2A;2A197;Osani;CURZU;NC22B13;2011-06-21 21:09:00;3;3000
2011;5335;0;2A;2A211;Petreto-Bicchisano;Pont de CASSONE;NB46E25;2011-08-29 16:09:00;3;10
2011;4659;0;2A;2A247;Porto-Vecchio;QUARTIER PIFFANO;NB84A25;2011-08-01 19:02:00;;10
2011;5340;0;2A;2A362;Zonza;STE LUCIE POVO;NB84D95;2011-09-01 17:19:00;3;2000
2010;5324;0;2A;2A001;Afa;STADE;NB28K34;2010-09-11 16:18:00;3;1000
2010;1167;0;2A;2A041;Bonifacio;TONNARA;NB62E35;2010-06-14 16:52:00;3;100
2010;2746;0;2A;2A070;Casaglione;U SOMMALU;NB28F71;2010-07-24 17:26:00;3;2500
2010;1149;0;2A;2A091;Cognocoli-Monticchi;ret D55;NB46C55;2010-06-09 12:19:00;3;1000
2010;5351;0;2A;2A232;Pila-Canale;CASSONE;NB46E21;2010-09-23 16:10:00;3;50
2010;2725;0;2A;2A249;Propriano;BUDETTU;NB44D52;2010-07-16 14:03:00;3;1000
2010;2966;0;2A;2A249;Propriano;RIBELLU;NB44D53;2010-08-01 11:51:00;3;5000
2010;4153;0;2A;2A271;Sarrola-Carcopino;Pantanu;NB48A53;2010-08-06 14:28:00;3;1300
2010;4155;0;2A;2A271;Sarrola-Carcopino;SAN PETRU;NB48A42;2010-08-08 01:20:00;3;600
2010;2726;0;2A;2A348;Vico;RES PLEIN SOLEIL;NC20C03;2010-07-16 18:24:00;3;8000
2010;5302;0;2A;2A348;Vico;SAGONE;NC20D03;2010-09-01 17:51:00;3;10000
2010;4115;0;2A;2A362;Zonza;caramontinu;NB84D82;2010-08-05 15:05:00;3;14000
2009;1398;0;2A;2A247;Porto-Vecchio;CARTALAVONU;NB66F63;2009-03-24 13:37:00;3;30
2009;1896;0;2A;2A215;Pianottoli-Caldarello;Ancienne decharge;nb62b62;2009-04-23 13:39:00;3;1500
2009;1955;0;2A;2A272;Sartène;TIZZANO;NB42D81;2009-05-05 18:59:00;3;50
2009;3040;0;2A;2A349;Viggianello;rTE DE VIGGIANELLO;NB44F65;2009-06-06 17:52:00;3;20
2009;3116;0;2A;2A362;Zonza;STE LUCIE POVO;NB84C95;2009-06-26 20:49:00;3;1000
2009;3559;0;2A;2A270;Sari-d'Orcino;ANCIEN DO;NB28L75;2009-07-02 14:56:00;3;15000
2009;3564;0;2A;2A017;Appietto;Rte de LAVA;NB28G44;2009-07-05 02:57:00;3;400
2009;3590;0;2A;2A006;Alata;LA PUNTA;NB28F11;2009-07-11 15:53:00;3;500
2009;4981;0;2A;2A006;Alata;san benedettto;NB28F33;2009-07-17 16:30:00;3;50
2009;5159;0;2A;2A232;Pila-Canale;CALZOLA;NB46D12;2009-07-19 14:48:00;3;50
2009;5164;0;2A;2A247;Porto-Vecchio;OSPEDALE;NB64G63;2009-07-23 00:48:00;3;10
2009;5166;0;2A;2A284;Sollacaro;;NB46C04;2009-07-23 10:44:00;3;4000
2009;5180;0;2A;2A272;Sartène;PERO LONGO;NB42H81;2009-07-23 13:25:00;3;12010000
2009;5183;0;2A;2A212;Piana;Rte de CARGESE;NC20A64;2009-07-23 14:47:00;3;10
2009;5185;0;2A;2A232;Pila-Canale;VILLAGE;NB46D31;2009-07-23 14:48:00;3;10
2009;5205;0;2A;2A018;Arbellara;ACORAVO;NB44K65;2009-07-31 15:33:00;3;100
2009;5345;0;2A;2A004;Ajaccio;Rte du VITTULO;NB26F93;2009-08-09 19:09:00;3;2
2009;5857;0;2A;2A118;Fozzano;Rte des MARTINI;NB44H81;2009-07-23 13:26:00;3;32210000
2009;7998;0;2A;2A041;Bonifacio;SUARTONE;NB62K62;2009-09-07 12:45:00;3;9000
2009;8009;0;2A;2A004;Ajaccio;7 PONTS;NB28F15;2009-09-23 14:55:00;3;50
