Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2013;2859;0;2B;2B283;Solaro;;NB88C13;2013-07-25 13:40:00;;1138
2022;7111;0;2B;2B155;Matra;Pietriera;NC82B1;2022-10-31 12:44:00;;400
2021;292;0;2B;2B033;Bastia;;NC86A31;2021-02-04 17:10:00;;10000
2016;4066;0;2A;2A211;Petreto-Bicchisano;FOCE LIVESI;NB46G01;2016-07-11 21:13:00;3;6500
2022;7102;0;2B;2B219;Piedicroce;fontana;NC62L7;2022-10-28 19:13:00;;4000
2022;7099;0;2B;2B055;Campitello;dz campitellu;NC64H4;2022-10-28 15:20:00;;100000
2020;4287;0;2A;2A031;Bastelica;Col de Menta;NB48H35;2020-08-14 20:09:00;;100
2022;3286;0;2B;2B341;Venaco;route forêt de cervello;NC60C6;2022-06-23 01:11:00;;50000
2022;7070;0;2B;2B153;Manso;Punta Cavita;NC42A5;2022-10-16 16:34:00;;10000
2022;7096;0;2B;2B059;Canavaggia;pont de Muzile;NC64F2;2022-10-27 18:34:00;;2000
2016;6817;0;2B;2B140;Lento;MACINELLI;NC64F42;2016-09-25 11:25:00;;20000
2022;7085;0;2B;2B283;Solaro;au dessus village;NB88A0;2022-10-25 14:54:00;;3000
2017;4364;0;2B;2B009;Aléria;CASABIANDA;NC80F13;2017-07-24 10:40:00;;613700
2015;5504;0;2B;2B116;Focicchia;;NC62H03;2015-09-18 13:50:00;;4600
2015;2688;0;2B;2B079;Castello-di-Rostino;Campiotola;NC64G24;2015-07-10 12:57:00;3;125400
2016;7551;0;2B;2B121;Galéria;Musella;NC22E83;2016-11-01 18:00:00;;20000
2015;5378;0;2B;2B341;Venaco;RD 143;NC60E84;2015-09-10 21:18:00;;300
2014;6043;0;2B;2B116;Focicchia;;NC60H91;2014-11-04 13:40:00;;8578
2014;2373;0;2B;2B030;Barrettali;;NC68H35;2014-05-24 16:31:00;;196367
2018;3552;0;2B;2B123;Ghisonaccia;;NB88C81;2018-09-01 13:09:00;;100700
2017;11634;0;2A;2A200;Palneca;Scrivano;NB68E35;2017-08-02 15:48:00;;1855000
2016;4855;0;2A;2A041;Bonifacio;Cala Longa - Piantarella;NB62L25;2016-08-10 12:52:00;3;205
2022;1531;0;2B;2B290;Speloncato;piste chiostroni;NC44C5;2022-02-26 11:12:00;;80000
2021;7495;0;2B;2B079;Castello-di-Rostino;;NC64G2;2021-10-26 15:09:00;;70000
2022;4625;0;2B;2B173;Muro;Moulin Salvadori;NC44A5;2022-07-14 14:49:00;;6000
2022;5903;0;2B;2B039;Bisinchi;d115;NC64H2;2022-09-03 09:25:00;;80
2022;6826;0;2B;2B182;Occhiatana;hameau du soleil;NC44E7;2022-10-14 14:49:00;;10000
2022;6831;0;2B;2B218;Piedicorte-di-Gaggio;;NC60K9;2022-10-17 23:04:00;;300
2022;7065;0;2B;2B292;Sant'Andréa-di-Bozio;LD Campdondico;NC62H1;2022-10-22 13:44:00;;100000
2022;7069;0;2B;2B347;Vezzani;col de perelli;NC60K4;2022-10-22 10:24:00;;600
2022;7072;0;2B;2B183;Ogliastro;entre Nonza et ogliastro;NC68H1;2022-10-23 12:16:00;;40000
2022;7075;0;2B;2B246;Porta (La);village;NC62L9;2022-10-24 13:25:00;;200
