Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2012;5039;0;2B;2B159;Meria;;NC88B84;2012-06-22 19:04:00;;50
2020;644;0;2A;2A114;Figari;Vignale;NB62D63;2020-02-13 09:48:00;;5
2020;1534;0;2A;2A198;Ota;Pont de Sorbello;NC20E74;2020-04-05 15:25:00;;100
2020;1543;0;2A;2A186;Olivese;Ancienne décharge sous le stade;NB46L62;2020-04-16 19:48:00;;1500
2020;1970;0;2A;2A279;Serriera;Pont de Vetricella;NC22C03;2020-06-16 20:59:00;;300
2020;4202;0;2A;2A279;Serriera;Domaine Coda Leone;NC22C03;2020-07-28 20:23:00;;80
2020;4788;0;2A;2A048;Calcatoggio;Haut du village;NB28G52;2020-09-21 11:15:00;;80
2020;5398;0;2A;2A028;Balogna;Ancienne décharge;NC20G32;2020-10-25 18:27:00;;1
2020;5395;0;2A;2A048;Calcatoggio;Pevani. Délaissé de Punta Capellu;NB28D53;2020-10-01 18:33:00;;35
2021;366;0;2A;2A139;Lecci;Porto-Vecchiano;NB84B73;2021-02-08 12:17:00;;5
2021;694;0;2A;2A266;Salice;Col de Tartavello;NB48B93;2021-02-23 15:37:00;;2
2021;2462;0;2A;2A336;Valle-di-Mezzana;Entre village et Bocca di Sarzoggiu;NB28L52;2021-06-05 16:40:00;;20
2021;6985;0;2A;2A181;Ocana;Punta di la Vanna;NB48D14;2021-08-28 03:03:00;;60
2014;6622;0;2A;2A200;Palneca;Ancien stade;NB68E31;2014-10-29 14:45:00;3;200
2016;1424;0;2A;2A249;Propriano;PORTIGLIOLO;NB44D41;2016-04-12 20:31:00;3;100
2016;4504;0;2A;2A272;Sartène;STATION BP SORTIE SARTENE;NB44G54;2016-07-23 10:24:00;3;100
2018;3137;0;2A;2A004;Ajaccio;Stiletto;NB28H13;2018-08-06 15:42:00;;8800
2019;2321;0;2A;2A351;Villanova;Croisement de Scaglioli;NB28D23;2019-05-10 21:37:00;;1
2019;2339;0;2A;2A270;Sari-d'Orcino;Sur la route menant au col de Sarzoggiu;NB28L6;2019-06-08 11:22:00;;100
2019;2889;0;2A;2A324;Tavera;Bocca di Scalella RD27;NB48H73;2019-06-28 07:03:00;;800
2020;647;0;2A;2A091;Cognocoli-Monticchi;Pedi Longa;NB46B22;2020-02-13 17:12:00;;20
2013;1651;0;2B;2B143;Linguizzetta;;NC80K84;2013-06-25 19:23:00;;200
2014;2080;0;2B;2B231;Pigna;;NC24L72;2014-05-15 19:30:00;;1000
2014;2376;0;2B;2B188;Olmeta-di-Tuda;;NC66K05;2014-05-26 15:15:00;;2776
2016;5234;0;2B;2B049;Calenzana;VILLAGE;NC24K21;2016-08-17 13:30:00;;360
2012;109;0;2B;2B343;Venzolasca;;NC84C33;2012-01-05 18:48:00;;1500
2022;1440;0;2A;2A040;Bocognano;Castagnoli;NB48K91;2022-03-10 11:57:00;;550
2022;3807;0;2A;2A092;Conca;Castellu;NB86B13;2022-07-09 19:04:00;;400
2022;4215;0;2A;2A247;Porto-Vecchio;Pascialella;NB84B34;2022-06-25 21:43:00;;150
2022;5453;0;2A;2A048;Calcatoggio;Plage du Stagnone;NB28F63;2022-08-10 04:21:00;;1500
2012;9574;0;2A;2A103;Cuttoli-Corticchiato;plaine de cuttoli;NB48A22;2012-08-17 18:17:00;3;50
2013;1863;0;2A;2A130;Grosseto-Prugna;stade;NB46F75;2013-06-08 13:00:00;3;150
2018;4333;0;2A;2A270;Sari-d'Orcino;Rouet de Sarzoghju;NB28L62;2018-06-02 11:57:00;;10
2014;1571;0;2A;2A114;Figari;D859;NB62D51;2014-03-18 12:12:00;4;200
2014;2687;0;2A;2A345;Vero;village;NB48D84;2014-04-12 20:27:00;3;300
2014;4131;0;2A;2A271;Sarrola-Carcopino;Route Valle di Mezzana;NB28L21;2014-07-17 10:57:00;3;150
2018;3787;0;2A;2A006;Alata;San Benedetto;NB28G34;2018-09-07 13:28:00;;200
2021;7348;0;2A;2A359;Zicavo;Bagnatoghju;NB66C92;2021-10-24 17:35:00;;50
2014;4156;0;2B;2B166;Monte;;NC84C53;2014-07-28 15:55:00;;30000
2015;3219;0;2A;2A004;Ajaccio;Rue du Cinto - La Confina 2;NB28K13;2015-07-21 15:30:00;3;20
2015;6192;0;2A;2A062;Carbuccia;Cimetière;NB48E61;2015-10-23 10:17:00;3;300
2012;5902;0;2B;2B033;Bastia;;NC86B35;2012-07-15 12:30:00;;50
2022;5480;0;2A;2A278;Serra-di-Scopamène;Frustaja;NB66B23;2022-08-11 15:31:00;;5
2012;7223;0;2B;2B165;Moncale;;NC24G15;2012-08-06 11:14:00;;50
2012;7226;0;2B;2B221;Piedipartino;;NC62L65;2012-08-06 13:21:00;;5
2019;2036;0;2A;2A056;Campo;Entre Campo et Frassetto;NB46H81;2019-03-28 17:58:00;;200
2012;7600;0;2B;2B185;Oletta;;NC66H13;2012-08-14 13:16:00;;5000
2012;8253;0;2B;2B346;Vescovato;;NC84C45;2012-09-01 01:22:00;;200
2013;1531;0;2B;2B039;Bisinchi;;NC64H25;2013-06-18 21:27:00;;100
2019;7327;0;2A;2A308;Sainte-Lucie-de-Tallano;Au niveau du stade;NB64B7;2019-10-31 15:21:00;;1
