Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2013;810;0;2B;2B352;Ville-di-Paraso;;NC44D63;2013-04-12 11:31:00;;20000
2017;7839;0;2B;2B318;Taglio-Isolaccio;isolaccio;NC84E04;2017-10-14 19:02:00;;15300
2017;8501;0;2B;2B354;Vivario;bergerie de l'Onda;NC40K33;2017-11-04 12:43:00;;20000
2016;3951;0;2B;2B049;Calenzana;PIETRALBA;NC24G35;2016-07-17 15:00:00;;6000
2014;5407;0;2B;2B251;Prunelli-di-Fiumorbo;;NB88E64;2014-09-22 18:19:00;;2500
2021;7347;0;2A;2A200;Palneca;Cintello Della Monda;NB68D54;2021-10-23 16:20:00;;184200
2014;4494;0;2B;2B110;Favalello;;NC62E13;2014-08-15 12:28:00;;100
2014;4498;0;2B;2B110;Favalello;;NC62E13;2014-08-15 12:28:00;;3
2014;4500;0;2B;2B110;Favalello;;NC62E12;2014-08-15 12:28:00;;10
2014;6042;0;2B;2B218;Piedicorte-di-Gaggio;;NC60K81;2014-11-03 15:09:00;;12850
2014;6346;0;2B;2B109;Farinole;;NC66K74;2014-11-24 15:23:00;;4000
2018;180;0;2B;2B281;Sisco;CROSCIANO;NC88B12;2018-01-17 05:57:00;;30000
2020;6426;0;2A;2A323;Tavaco;Piano Maio;NB48B74;2020-11-08 11:15:00;;70000
2022;916;0;2A;2A024;Aullène;Bergeries de Niellu;NB66C54;2022-02-24 17:40:00;;387700
2015;1602;0;2A;2A062;Carbuccia;Centre village;NB48D6;2015-05-14 16:20:00;3;3000
2022;1373;0;2A;2A004;Ajaccio;Vallon de Lisa;NB28E05;2022-03-11 15:41:00;;2800
2015;2294;0;2A;2A006;Alata;Sortie village - A Castelletta;NB28E25;2015-06-12 15:29:00;3;9300
2016;1430;0;2A;2A031;Bastelica;STATION D'ESE -2/3 KILO SOUS STATION;NB68A4;2016-04-17 16:22:00;3;4000
2016;1432;0;2A;2A031;Bastelica;STATION D'ESE - 2/3 KILO SOUS STATION;NB68B42;2016-04-17 16:22:00;3;40000
2016;1400;0;2A;2A031;Bastelica;STATION DU VAL D'ESE;NB48L34;2016-04-01 17:00:00;3;10200
2016;1408;0;2A;2A323;Tavaco;PANTANU;NB48A6;2016-04-03 16:23:00;3;10000
2016;1411;0;2A;2A031;Bastelica;STATION DU VAL D'ESE - 1.5 KILO AVANT;NB48L32;2016-04-05 20:12:00;3;9000
2016;1407;0;2A;2A031;Bastelica;ROUTE D'ESE;NB68A31;2016-04-02 18:57:00;3;9000
2016;7375;0;2A;2A359;Zicavo;PLATEAU DU CUSCIONE;NB66D81;2016-09-30 19:18:00;3;18000
2015;3588;0;2B;2B095;Corscia;Scalla Sta Régina;NC42H41;2015-07-28 01:47:00;;113588
2016;8249;0;2A;2A141;Letia;Hameau Saint Roch - Proximité centre équestre;NC20K45;2016-12-05 16:35:00;3;3500
2016;4252;0;2B;2B185;Oletta;padule;NC66G12;2016-07-21 11:38:00;;15000
2016;8250;0;2A;2A312;Santa-Maria-Siché;Budiccia - Hameau de SIcché;NB46G72;2016-12-06 07:45:00;3;10000
2017;1565;0;2A;2A017;Appietto;Col San Bastiano;NB28F54;2017-04-19 15:22:00;3;1500
2022;1306;0;2A;2A048;Calcatoggio;Casella;NB28D44;2022-02-23 14:49:00;;1000
