Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2013;3802;0;2A;2A300;San-Gavino-di-Carbini;ribba;NB84A62;2013-07-25 15:52:00;3;20
2019;2333;0;2A;2A139;Lecci;Le long de la RT10;NB84B85;2019-06-05 13:46:00;;6550
2016;4280;0;2A;2A269;Sari-Solenzara;FAVONE;NB86E41;2016-07-25 14:33:00;3;20
2016;4275;0;2A;2A041;Bonifacio;SANTA MANZA;NB62K25;2016-07-22 09:04:00;3;20
2013;4727;0;2A;2A142;Levie;a SORBA;NB64D81;2013-08-17 23:48:00;3;100
2018;3675;0;2A;2A004;Ajaccio;Chemin de la Sposato;NB28G13;2018-09-02 16:06:00;;50
2014;2736;0;2A;2A041;Bonifacio;route de SANTA MANZA;NB62K22;2014-05-30 15:32:00;3;20
2014;4805;0;2A;2A269;Sari-Solenzara;Route de Bavella;NB86D85;2014-08-15 16:56:00;3;330000
2015;4547;0;2A;2A300;San-Gavino-di-Carbini;Entrée Arraggio et Giallo avant Ecole  - ARRAGGIO;NB64L6;2015-07-21 01:50:00;3;2200
2020;4288;0;2A;2A031;Bastelica;Castagnettu;NB48K53;2020-08-15 12:44:00;;700
2020;4297;0;2A;2A017;Appietto;Col San Bastiano;NB28F41;2020-08-29 10:12:00;;7
2012;9547;0;2A;2A362;Zonza;village;NB66E13;2012-08-01 16:30:00;3;30
2013;3465;0;2A;2A362;Zonza;testa;NB84E94;2013-07-16 10:55:00;3;15
2013;3801;0;2A;2A017;Appietto;col listincone;NB28G31;2013-07-25 11:39:00;3;830
2019;5835;0;2A;2A017;Appietto;1 Km après le col du Listinconu direction Sagone D81;NB28G44;2019-08-23 13:01:00;;92
2020;4624;0;2B;2B143;Linguizzetta;domaine casabianca;NC80H63;2020-09-14 14:11:00;3;21660
2021;4866;0;2B;2B170;Morsiglia;;NC68H74;2021-08-01 20:47:00;;1128
2022;3231;0;2B;2B143;Linguizzetta;domaine casabianca;NC80H6;2022-06-13 12:06:00;;730000
2012;5907;0;2B;2B342;Ventiseri;;NB88D45;2012-07-15 15:07:00;;5000
2012;6572;0;2B;2B236;Poggio-di-Nazza;;NB88A83;2012-07-23 07:37:00;;100
2012;8252;0;2B;2B311;Santa-Maria-Poggio;;NC82G64;2012-09-01 00:35:00;;300
2012;8254;0;2B;2B087;Cervione;;NC82G53;2012-09-01 11:50:00;;3000
2014;4289;0;2B;2B248;Prato-di-Giovellina;;NC62C93;2014-08-01 16:09:00;;50
2015;4668;0;2B;2B341;Venaco;Riu secu piscine;NC60C73;2015-08-17 14:55:00;;480000
2016;4610;0;2B;2B059;Canavaggia;PONTE ROSSO;NC64C24;2016-08-05 14:01:00;;3900
2016;6079;0;2B;2B148;Lucciana;casamozza RT20;NC84B53;2016-08-26 11:49:00;;53500
2017;4378;0;2B;2B143;Linguizzetta;PUMPOGLIANI;NC80H75;2017-07-24 17:00:00;;42000
2017;3670;0;2B;2B320;Tallone;kARTING;NC80G42;2017-07-10 13:12:00;;19000
2017;3668;0;2B;2B320;Tallone;kARTING;NC80G42;2017-07-10 13:12:00;;70
2017;5923;0;2B;2B136;Lama;;NC64A75;2017-08-20 12:38:00;;1
2017;4073;0;2B;2B355;Volpajola;ROUTE DU VILLAGE;NC64H42;2017-07-17 14:51:00;;200000
2017;6508;0;2B;2B143;Linguizzetta;champs de tir;NC80H62;2017-09-02 15:00:00;;2
2015;5202;0;2A;2A300;San-Gavino-di-Carbini;Pont de l'OSU;NB84A73;2015-07-28 11:36:00;3;500
2015;6571;0;2A;2A038;Bilia;RD 21 - Bocca di Bicelli;NB44F34;2015-07-28 14:37:00;3;34
2016;3180;0;2A;2A139;Lecci;LDT PORTO-VECCHIACCIO - Après le pont de l'Oso;NB84B74;2016-06-14 16:19:00;3;378
2016;4584;0;2A;2A139;Lecci;ZAL PONT DE L'OSO;NB84C64;2016-08-01 16:34:00;3;280
2016;3601;0;2B;2B281;Sisco;;NC88C23;2016-07-06 14:50:00;;10
2013;4010;0;2B;2B150;Lumio;;NC24G73;2013-08-27 15:12:00;;100
2016;5885;0;2B;2B148;Lucciana;parking casamozza;NC84C54;2016-08-25 12:13:00;;21300
2021;3890;0;2B;2B002;Aghione;;NC80C14;2021-07-14 10:14:00;;33400
2015;5070;0;2A;2A362;Zonza;MANGHJA GATTA;NB86E04;2015-09-05 22:33:00;3;3500
2020;2526;0;2A;2A198;Ota;Porto Village;NC20C82;2020-07-08 15:26:00;;30
2017;3163;0;2B;2B185;Oletta;LECLERC rd82;NC66H24;2017-07-05 13:17:00;;150
2016;5866;0;2B;2B042;Borgo;MARANA KANTEEN;NC84E95;2016-08-23 15:21:00;;40000
2018;3669;0;2A;2A048;Calcatoggio;Plage du Grand Bleu;NB28F63;2018-08-26 13:46:00;;1150
2020;4290;0;2A;2A027;Azzana;Collu Gualdu;NC40C13;2020-08-16 16:21:00;;10
2014;4961;0;2B;2B283;Solaro;;NB86D85;2014-08-15 16:50:00;;304678
2017;4261;0;2B;2B347;Vezzani;rd343;NC60F52;2017-07-18 11:51:00;;10
2016;4662;0;2A;2A247;Porto-Vecchio;TURRICCIOLI 2;NB64L35;2016-08-07 12:16:00;3;20
2020;4214;0;2A;2A017;Appietto;Village;NB28G42;2020-08-13 16:33:00;;120000
2021;4871;0;2B;2B007;Albertacce;;NC42D34;2021-08-03 15:44:00;;2
2014;4510;0;2B;2B355;Volpajola;;NC84A41;2014-08-17 16:50:00;;15000
2021;4868;0;2B;2B150;Lumio;;NC24H74;2021-08-02 06:54:00;;517
2015;4523;0;2A;2A362;Zonza;Proximité Tour Génoise - FAUTEA;NB86E05;2015-07-27 14:36:00;3;40500
