Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2014;4126;0;2A;2A041;Bonifacio;Pont de Ventilegne;NB62E4;2014-07-15 12:08:00;3;2
2016;4071;0;2A;2A092;Conca;FAVONE;NB86C02;2016-07-17 14:07:00;3;989
2012;8237;0;2B;2B016;Antisanti;;NC60K42;2012-08-31 15:37:00;;30
2014;4308;0;2A;2A041;Bonifacio;Pont de Ventilegne;NB62H4;2014-06-18 15:06:00;3;3
2012;9537;0;2A;2A288;Sotta;cancaraccia;NB62G81;2012-07-27 12:54:00;3;2
2017;4341;0;2A;2A215;Pianottoli-Caldarello;Pont de Figari - RT40;NB62C65;2017-07-16 13:19:00;3;51400
2016;4674;0;2B;2B335;Valle-di-Campoloro;MUCCHIETU;NC82F54;2016-08-07 11:05:00;;5000
2013;4705;0;2A;2A362;Zonza;caramontinu;NB84D82;2013-08-02 15:00:00;3;30
2021;6989;0;2A;2A104;Eccica-Suarella;Plaine St Jean;NB46B91;2021-09-02 09:13:00;;20
2019;3453;0;2B;2B341;Venaco;;NC60C62;2019-07-10 00:38:00;;10
2013;7002;0;2A;2A212;Piana;SALICCIO;NC00L62;2013-12-02 18:19:00;3;500
2016;5600;0;2B;2B162;Moltifao;;NC64A11;2016-08-23 14:01:00;;50
2021;4635;0;2A;2A362;Zonza;Vallicone;NB84E61;2021-07-10 16:43:00;;5
2013;3803;0;2A;2A004;Ajaccio;castelluccio;NB26E9;2013-07-26 10:20:00;3;10
2021;4638;0;2A;2A098;Coti-Chiavari;Punta di Pinselli;NB26K24;2021-07-14 12:02:00;;60
2013;4001;0;2B;2B123;Ghisonaccia;;NC80B01;2013-08-22 14:58:00;;300
2013;5809;0;2B;2B043;Brando;;NC88C04;2013-11-09 20:23:00;;191200
2021;3924;0;2A;2A209;Peri;Volte;NB48B42;2021-06-30 19:41:00;;300
2016;4068;0;2A;2A362;Zonza;A TESTA;NB84D95;2016-07-13 10:02:00;3;1200
2017;12057;0;2A;2A362;Zonza;Olmicciu;NB84E94;2017-06-01 15:43:00;;50
2019;2877;0;2A;2A272;Sartène;En dessous de l'hôpital;NB44F21;2019-06-14 10:17:00;;73800
2020;982;0;2A;2A154;Marignana;Embranchement Chidazzu;NC20G75;2020-03-19 15:11:00;;50
2019;6760;0;2A;2A018;Arbellara;Capraja;NB44H73;2019-10-03 00:05:00;;10
2019;7223;0;2A;2A228;Pietrosella;Hameau d'Acelasca;NB26K43;2019-10-23 07:10:00;;1
2020;353;0;2B;2B192;Olmo;Fontana;NC84B44;2020-02-11 08:31:00;3;200000
2021;5329;0;2B;2B290;Speloncato;;NC44B73;2021-08-26 15:48:00;;400
2012;5373;0;2B;2B332;Urtaca;;NC44L85;2012-07-08 12:26:00;;800
