Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2021;4868;0;2B;2B150;Lumio;;NC24H74;2021-08-02 06:54:00;;517
2020;4214;0;2A;2A017;Appietto;Village;NB28G42;2020-08-13 16:33:00;;120000
2020;1106;0;2A;2A254;Quenza;Col de Larone;NB66K64;2020-02-04 05:30:00;;31392900
2018;2779;0;2A;2A247;Porto-Vecchio;Murtone;NB84A15;2018-07-22 13:47:00;;50
2017;5922;0;2B;2B112;Feliceto;e prove;NC44A65;2017-08-19 12:52:00;;300
2013;3813;0;2A;2A247;Porto-Vecchio;ceccia;NB64K31;2013-07-31 14:36:00;3;2
2016;5906;0;2A;2A310;Santa-Maria-Figaniella;SORTIE VILLAGE;NB44H81;2016-08-15 13:30:00;3;200
2019;1050;0;2A;2A254;Quenza;Bocca di Laronu;NB66K65;2019-03-10 17:14:00;;5000
2016;2893;0;2A;2A348;Vico;SAGONE;NB28D91;2016-05-26 22:38:00;3;20
2018;4196;0;2A;2A004;Ajaccio;Stiletto Derrière Magic Stock au niveau du col;NB28H14;2018-09-23 15:13:00;;1500
2012;5365;0;2B;2B205;Patrimonio;;NC66H53;2012-07-04 14:44:00;;3000
2013;1902;0;2A;2A247;Porto-Vecchio;ARCA;NB64H12;2013-06-17 16:19:00;3;100
2014;4327;0;2B;2B087;Cervione;;NC82F41;2014-08-05 22:50:00;;4
2017;4879;0;2A;2A004;Ajaccio;Quartier Pietralba;NB28G02;2017-08-04 11:57:00;3;50000
2014;5338;0;2B;2B361;Zilia;;NC24L32;2014-09-14 21:13:00;;3
2015;4546;0;2A;2A362;Zonza;Centre Village - Proximité Cimetière;NB66E13;2015-07-13 22:36:00;3;40
2019;6180;0;2B;2B286;Sorbo-Ocagnano;SORBO OCAGNANO;NC84D21;2019-09-14 22:16:00;;3000
2013;3704;0;2B;2B313;San-Nicolao;;NC82E62;2013-08-20 21:49:00;;1000
