Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2020;4210;0;2A;2A209;Peri;Village;NB48D44;2020-08-09 14:20:00;;25
2012;4551;0;2A;2A060;Cannelle;RD 401;NB28L61;2012-03-16 18:29:00;3;6000
2014;3383;0;2A;2A288;Sotta;Carrière;NB64F1;2014-06-30 22:34:00;3;10
2014;4127;0;2A;2A272;Sartène;Route de Foce;NB44F3;2014-07-16 12:13:00;3;500
2014;3269;0;2A;2A288;Sotta;Borivoli;NB64F1;2014-06-30 00:12:00;3;20
2014;3400;0;2A;2A272;Sartène;RN 196 - Roccapina;NB42G6;2014-07-03 12:45:00;3;6800
2014;4298;0;2A;2A272;Sartène;Bocca Albitrina;NB44G21;2014-07-26 15:45:00;3;80
2014;4299;0;2A;2A272;Sartène;Tizzano;NB44F22;2014-07-26 16:12:00;3;180
2014;4301;0;2A;2A272;Sartène;Tizzano;NB42D81;2014-07-28 14:14:00;3;180
2014;4302;0;2A;2A272;Sartène;Tizzano;NB44F22;2014-07-28 14:27:00;3;150
2018;4192;0;2A;2A247;Porto-Vecchio;Route de l'Ospedale;NB64L35;2018-09-12 16:18:00;;150
2015;3220;0;2A;2A209;Peri;Pont de Peri;NB48C4;2015-07-22 02:56:00;3;840
2015;3221;0;2A;2A345;Vero;1km300 après l'accrobranche - D4;NB48C83;2015-07-22 05:03:00;3;400
2015;3200;0;2A;2A006;Alata;Chateau Punta - Proximité de la Chapelle;NB28E12;2015-07-07 19:26:00;3;13500
2015;4527;0;2A;2A062;Carbuccia;Route de Fiuminale;NB48C55;2015-08-07 05:48:00;3;360
2015;4544;0;2A;2A345;Vero;Vignola;NB48C63;2015-07-03 15:44:00;3;15300
2015;4549;0;2A;2A276;Serra-di-Ferro;Hameau Stliccione;NB44B91;2015-08-03 15:04:00;3;3500
2015;5071;0;2A;2A092;Conca;Au dessus sation d'épuration;NB86C02;2015-09-05 22:43:00;3;40
2016;4268;0;2A;2A181;Ocana;GIGLIU;NB48D01;2016-07-19 15:07:00;3;11650
2016;4271;0;2A;2A271;Sarrola-Carcopino;PISTE SOUS LE CIMETIERE;NB48A51;2016-07-20 18:32:00;3;100
2016;4272;0;2A;2A271;Sarrola-Carcopino;Route village;NB28L42;2016-07-20 19:49:00;3;150
2016;4274;0;2A;2A006;Alata;LA PUNTA;NB28E12;2016-07-21 19:44:00;3;100
2016;4276;0;2A;2A276;Serra-di-Ferro;CINTRONU;NB44A82;2016-07-22 16:24:00;3;400
2016;4277;0;2A;2A031;Bastelica;VAL D'ESE;NB48K32;2016-07-22 21:04:00;3;90
2016;4270;0;2A;2A104;Eccica-Suarella;ROUTE DU PONT DE LA PIERRE;NB46C91;2016-07-20 17:20:00;3;2000
2016;4505;0;2A;2A062;Carbuccia;PROXIMITE VOIE FERREE - PAILLOTE ANDREA;NB48C55;2016-07-28 07:37:00;3;10
2016;4506;0;2A;2A062;Carbuccia;VILLAGE PROXIMITE GARAGE;NB48C52;2016-07-28 14:18:00;3;20
2016;4507;0;2A;2A345;Vero;CAMPING LES EAUX VIVES;NB48C63;2016-07-28 16:03:00;3;450
2016;4854;0;2A;2A249;Propriano;Capu Laurosu - Pont Rena Bianca;NB44D51;2016-08-10 00:00:00;3;4524
2016;4658;0;2A;2A330;Ucciani;ANCIENNE ROUTE DU PONT;NB48E83;2016-08-07 00:08:00;3;100
2016;4661;0;2A;2A323;Tavaco;SINALE;NB48C54;2016-08-07 12:19:00;3;5300
2016;4074;0;2A;2A181;Ocana;Gigliu;NB48D01;2016-07-18 22:48:00;3;400
2016;5950;0;2A;2A062;Carbuccia;GARE DE CARBUCCIA;NB48C52;2016-08-21 16:52:00;3;2000
2016;4052;0;2A;2A006;Alata;CHATEAUX DE LA PUNTA;NB28F11;2016-07-07 14:33:00;3;30
2018;3050;0;2A;2A247;Porto-Vecchio;La Rocade;NB64L25;2018-07-25 16:16:00;;50
2012;5044;0;2B;2B283;Solaro;;NB88D05;2012-06-25 15:00:00;;400
2012;5037;0;2B;2B009;Aléria;;NC80E45;2012-06-22 14:32:00;;500
2012;5897;0;2B;2B054;Campile;;NC64K35;2012-07-14 18:34:00;;400
2012;5898;0;2B;2B303;San-Giuliano;;NC82K24;2012-07-15 09:59:00;;30
2012;4970;0;2B;2B096;Corte;;NC62B32;2012-06-13 13:51:00;;3000
2012;5908;0;2B;2B298;Saint-Florent;;NC66F33;2012-07-15 22:15:00;;50
2012;6564;0;2B;2B303;San-Giuliano;;NC82K24;2012-07-22 18:44:00;;2000
2012;6567;0;2B;2B185;Oletta;;NC66G14;2012-07-22 23:39:00;;125
2012;6569;0;2B;2B185;Oletta;;NC66G15;2012-07-22 23:39:00;;5300
2012;5043;0;2B;2B185;Oletta;;NC66F23;2012-06-24 12:30:00;;2000
2012;6849;0;2B;2B251;Prunelli-di-Fiumorbo;;NB88D55;2012-07-27 14:44:00;;500
2012;6879;0;2B;2B251;Prunelli-di-Fiumorbo;;NB88C74;2012-07-31 10:18:00;;200
2012;8447;0;2B;2B123;Ghisonaccia;;NB88B83;2012-09-08 13:18:00;;2500
2012;8876;0;2B;2B314;Santo-Pietro-di-Tenda;;NC64E95;2012-09-26 11:02:00;;1000
2012;8648;0;2B;2B239;Poggio-d'Oletta;;NC66K21;2012-09-16 18:08:00;;500
2013;1619;0;2B;2B178;Nonza;;NC68G03;2013-06-22 19:58:00;;150
2013;1549;0;2B;2B185;Oletta;;NC66G02;2013-06-19 13:27:00;;1500
2013;2450;0;2B;2B239;Poggio-d'Oletta;;NC66K24;2013-07-14 02:49:00;;40
2013;1551;0;2B;2B029;Barbaggio;;NC66K44;2013-06-19 14:29:00;;3000
2013;3701;0;2B;2B049;Calenzana;;NC24K21;2013-08-20 12:59:00;;200
2013;4004;0;2B;2B123;Ghisonaccia;;NB88C95;2013-08-25 17:10:00;;200
2013;5265;0;2B;2B046;Cagnano;;NC88A51;2013-10-03 13:22:00;;200
2013;5266;0;2B;2B287;Sorio;;NC64D83;2013-10-04 10:47:00;;560000
2013;5630;0;2B;2B030;Barrettali;;NC68H32;2013-10-28 12:58:00;;3000
2013;5797;0;2B;2B049;Calenzana;;NC24L24;2013-11-03 12:36:00;;384300
2013;5800;0;2B;2B046;Cagnano;;NC88A41;2013-11-06 13:13:00;;1300
2013;5663;0;2B;2B109;Farinole;;NC66K64;2013-11-01 17:34:00;;500
2013;5667;0;2B;2B301;San-Gavino-di-Tenda;;NC64F94;2013-11-02 13:16:00;;100
2013;5670;0;2B;2B170;Morsiglia;;NC68H83;2013-11-02 16:16:00;;3000
2013;5671;0;2B;2B036;Bigorno;;NC64G65;2013-11-03 13:15:00;;100
2013;5811;0;2B;2B287;Sorio;;NC64F71;2013-11-10 09:35:00;;20000
2013;5677;0;2B;2B314;Santo-Pietro-di-Tenda;;NC66F04;2013-11-03 18:56:00;;1000
2013;5816;0;2B;2B183;Ogliastro;;NC68H14;2013-11-10 15:53:00;;2000
2013;5818;0;2B;2B178;Nonza;;NC68H04;2013-11-11 18:14:00;;1000
2013;5262;0;2B;2B188;Olmeta-di-Tuda;;NC86A04;2013-10-01 11:09:00;;87000
2013;5633;0;2B;2B109;Farinole;;NC66H51;2013-10-28 16:02:00;;500
2013;6764;0;2B;2B123;Ghisonaccia;;NC80A14;2013-12-17 15:19:00;;400
2013;5975;0;2B;2B205;Patrimonio;;NC66H53;2013-11-15 17:56:00;;100
2013;6774;0;2B;2B188;Olmeta-di-Tuda;;NC66K04;2013-12-22 17:49:00;;500
2013;6921;0;2B;2B188;Olmeta-di-Tuda;;NC66L04;2013-12-31 14:56:00;;70000
2014;438;0;2B;2B283;Solaro;;NB88A05;2014-03-10 00:21:00;;7000
2014;439;0;2B;2B170;Morsiglia;;NC68K81;2014-03-10 12:38:00;;60000
