Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2020;651;0;2A;2A247;Porto-Vecchio;Tenda;NB84A44;2020-02-26 07:03:00;;5
2020;1546;0;2A;2A040;Bocognano;Quartier Poggiola;NB48K93;2020-04-18 20:39:00;;1
2020;3116;0;2A;2A359;Zicavo;Virgaghju;NB68B05;2020-07-26 16:52:00;;1
2022;1408;0;2A;2A100;Cristinacce;Bocca di Varze;NC20L75;2022-02-03 18:14:00;;1
2022;1409;0;2A;2A254;Quenza;Ravin de Cannone;NB66H45;2022-02-04 07:41:00;;1
2022;1410;0;2A;2A254;Quenza;Ravin de Tijeta;NB66H45;2022-02-04 17:38:00;;1
2013;4709;0;2A;2A247;Porto-Vecchio;MARINA DI FIORI;NB84A31;2013-08-05 03:39:00;3;100
2013;4710;0;2A;2A247;Porto-Vecchio;MARINA DI FIORI;NB84A31;2013-08-05 08:19:00;3;50
2013;4739;0;2A;2A272;Sartène;tizzano;NB44F15;2013-08-28 14:25:00;3;10
2014;2862;0;2A;2A189;Olmeto;Tavagliola;NB44F8;2014-06-03 22:41:00;3;50
2014;4321;0;2A;2A272;Sartène;Tizzano;NB42D85;2014-07-04 07:59:00;3;1200
2017;11629;0;2A;2A272;Sartène;Jardinu - Commune de Mola;NB44K24;2017-07-24 08:22:00;;10
2017;11637;0;2A;2A085;Cauro;RD302 - Capitoro;NB46A83;2017-08-03 16:56:00;;1
2017;11638;0;2A;2A345;Vero;Village;NB48D71;2017-08-04 15:40:00;;1
2017;11639;0;2A;2A004;Ajaccio;Route du Stiletto;NB28G02;2017-08-05 12:29:00;;650
2017;11640;0;2A;2A017;Appietto;U Picchiu;NB28G35;2017-08-06 14:12:00;;1
2017;11641;0;2A;2A004;Ajaccio;Résidence A Sposata;NB28G02;2017-08-07 18:20:00;;1
2017;11649;0;2A;2A308;Sainte-Lucie-de-Tallano;RD 69;NB44L75;2017-08-23 16:37:00;;1
2017;11652;0;2A;2A139;Lecci;Plage St Cyprien;NB84C63;2017-08-27 10:02:00;;1
2017;12059;0;2A;2A032;Bastelicaccia;Route de Bottacina;NB28L05;2017-06-10 12:24:00;;1
2018;4653;0;2A;2A090;Coggia;RD56 Lotissement A Capella;NB28E93;2018-10-04 10:00:00;;20
2012;7227;0;2B;2B049;Calenzana;;NC24E05;2012-08-06 18:40:00;;5
2012;7871;0;2B;2B185;Oletta;;NC66G12;2012-08-25 12:20:00;;10000
2012;8645;0;2B;2B320;Tallone;;NC80D62;2012-09-16 12:20:00;;40000
2018;41;0;2B;2B088;Chiatra;COSTA RUDA;NC82F23;2018-01-03 20:47:00;;100
2013;1617;0;2B;2B185;Oletta;;NC66G02;2013-06-22 12:41:00;;20
2013;4255;0;2B;2B145;Loreto-di-Casinca;;NC84C21;2013-08-31 04:23:00;;1000
2013;3999;0;2B;2B185;Oletta;;NC66G15;2013-08-21 16:34:00;;5500
2013;4850;0;2B;2B187;Olmeta-di-Capocorso;;NC66K81;2013-09-18 14:04:00;;30
2013;3998;0;2B;2B185;Oletta;;NC66G15;2013-08-21 13:40:00;;2000
2013;4003;0;2B;2B205;Patrimonio;;NC66K51;2013-08-25 16:53:00;;99200
2013;4119;0;2B;2B350;Vignale;;NC64L64;2013-08-28 19:13:00;;3
2013;4740;0;2B;2B077;Castellare-di-Casinca;;NC84D22;2013-09-12 09:45:00;;10
2014;2620;0;2B;2B034;Belgodère;;NC44E72;2014-06-20 16:42:00;;184082
2014;2851;0;2B;2B314;Santo-Pietro-di-Tenda;;NC66C31;2014-07-05 14:57:00;;352974
2018;51;0;2B;2B088;Chiatra;AU DESSUS DU VILLAGE;NC82E25;2018-01-04 12:22:00;;100
2014;5871;0;2B;2B184;Olcani;;NC68H02;2014-10-26 14:12:00;;150
2015;5010;0;2B;2B341;Venaco;;NC60C75;2015-09-02 17:23:00;;30
2016;3109;0;2B;2B058;Canari;;NC68H25;2016-06-25 11:00:00;;10000
2016;6024;0;2B;2B148;Lucciana;colibri;NC84B42;2016-08-29 22:08:00;;10
