Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2019;1677;0;2A;2A004;Ajaccio;Lotissement Confina 2;NB28K01;2019-03-28 15:06:00;;1000
2019;7222;0;2A;2A130;Grosseto-Prugna;Chemin du fort;NB26K73;2019-10-23 04:35:00;;1
2019;2880;0;2A;2A186;Olivese;Stade D757;NB46L61;2019-06-18 11:07:00;;50
2013;537;0;2A;2A247;Porto-Vecchio;VACAJA;NB64H32;2013-01-22 18:34:00;3;10
2013;536;0;2A;2A189;Olmeto;olmeto plage;NB44E75;2013-01-11 09:36:00;3;10
2017;3673;0;2B;2B354;Vivario;;NC60C42;2017-07-11 10:13:00;;60
2014;5256;0;2A;2A004;Ajaccio;Chemin Toretta - Salario;NB26F9;2014-09-09 14:06:00;3;75
2016;461;0;2B;2B361;Zilia;;NC24L34;2016-02-21 11:06:00;;100
2015;1612;0;2A;2A203;Partinello;RD 81 - Col de la Croix;NC22B13;2015-05-26 11:30:00;3;10
2015;160;0;2B;2B361;Zilia;;NC44A34;2015-01-14 16:34:00;;1000
2015;141;0;2B;2B361;Zilia;;NC24L34;2015-01-12 16:00:00;;50
2020;419;0;2A;2A247;Porto-Vecchio;Résidence Ondella;NB64H32;2020-01-04 19:18:00;;1
2020;648;0;2A;2A181;Ocana;Pont de la Pierre;NB48B05;2020-02-18 16:48:00;;1
2012;10176;0;2B;2B042;Borgo;;NC84B73;2012-12-17 12:25:00;;5000
2017;1107;0;2A;2A142;Levie;hameau radici;NB64E55;2017-03-09 11:50:00;3;50
2017;1573;0;2A;2A200;Palneca;Entre Palneca et Cozzano;NB68D33;2017-04-12 06:43:00;3;100
2020;2411;0;2A;2A017;Appietto;En face de la Balisaccia;NB28H22;2020-06-19 17:00:00;;1000
2018;2534;0;2A;2A189;Olmeto;Terrain communal - Route de Baracci - D257;NB44E6;2018-07-03 17:08:00;;25
2019;7325;0;2A;2A032;Bastelicaccia;Pépinière Vinciguera à côté de GIFI;NB26L93;2019-10-31 12:09:00;;1
2019;7231;0;2A;2A271;Sarrola-Carcopino;Ets Bernardi en face du Leclerc Caldaniccia;NB28K15;2019-10-23 16:32:00;;200
2021;6980;0;2A;2A004;Ajaccio;Bocca di Stiletto;NB28H14;2021-08-20 17:00:00;;1
2020;2420;0;2A;2A006;Alata;Castelettu;NB28E23;2020-06-26 14:04:00;;2500
2016;2917;0;2A;2A065;Cargèse;HAM DE PAOMA;NC20B11;2016-05-07 14:28:00;3;2000
